transaction_date,transaction_type,amount,units,scheme_code,investor_id,kyc_status
05-12-2019,SIP,2000.0,104.03355867901212,125497,INV0001,Verified
05-01-2020,SIP,2000.0,26.0891921318055,125497,INV0001,Verified
05-02-2020,SIP,2000.0,33.850691483911184,125497,INV0001,Verified
05-03-2020,SIP,2000.0,31.673471282060788,125497,INV0001,Verified
05-04-2020,SIP,2000.0,155.51566047774233,125497,INV0001,Verified
05-05-2020,SIP,2000.0,108.50357968237022,125497,INV0001,Verified
05-06-2020,SIP,2000.0,64.64232669098158,125497,INV0001,Verified
05-07-2020,SIP,2000.0,31.161537451864817,125497,INV0001,Verified
05-08-2020,SIP,2000.0,33.05126520720962,125497,INV0001,Verified
05-09-2020,SIP,2000.0,26.86663858145088,125497,INV0001,Verified
05-10-2020,SIP,2000.0,27.352579040591426,125497,INV0001,Verified
05-11-2020,SIP,2000.0,41.878866984661016,125497,INV0001,Verified
05-12-2020,SIP,2000.0,39.659865755209616,125497,INV0001,Verified
05-01-2021,SIP,2000.0,57.08224600592735,125497,INV0001,Verified
05-02-2021,SIP,2000.0,22.666221036473143,125497,INV0001,Verified
05-03-2021,SIP,2000.0,25.545177827650356,125497,INV0001,Verified
05-04-2021,SIP,2000.0,82.0703443444058,125497,INV0001,Verified
05-05-2021,SIP,2000.0,41.63605043506503,125497,INV0001,Verified
05-06-2021,SIP,2000.0,57.1291122857754,125497,INV0001,Verified
05-07-2021,SIP,2000.0,68.0776008369119,125497,INV0001,Verified
05-08-2021,SIP,2000.0,25.408288451637127,125497,INV0001,Verified
05-09-2021,SIP,2000.0,104.17249985578596,125497,INV0001,Verified
05-10-2021,SIP,2000.0,45.2555679770452,125497,INV0001,Verified
05-11-2021,SIP,2000.0,47.27222230508869,125497,INV0001,Verified
05-12-2021,SIP,2000.0,48.83287592485742,125497,INV0001,Verified
05-01-2022,SIP,2000.0,59.15955910046279,125497,INV0001,Verified
05-02-2022,SIP,2000.0,143.77587208591274,125497,INV0001,Verified
05-03-2022,SIP,2000.0,38.9497289938298,125497,INV0001,Verified
05-04-2022,SIP,2000.0,94.18699236807649,125497,INV0001,Verified
05-05-2022,SIP,2000.0,21.503854083357204,125497,INV0001,Verified
05-06-2022,SIP,2000.0,117.01368558330574,125497,INV0001,Verified
05-07-2022,SIP,2000.0,54.966127317381,125497,INV0001,Verified
05-08-2022,SIP,2000.0,30.040141760733054,125497,INV0001,Verified
05-09-2022,SIP,2000.0,22.29886656969393,125497,INV0001,Verified
05-10-2022,SIP,2000.0,47.00667117064195,125497,INV0001,Verified
05-11-2022,SIP,2000.0,73.24404777605626,125497,INV0001,Verified
05-12-2022,SIP,2000.0,123.00150692351477,125497,INV0001,Verified
05-01-2023,SIP,2000.0,28.771307501030236,125497,INV0001,Verified
05-02-2023,SIP,2000.0,25.13315840407077,125497,INV0001,Verified
